,SName,Lyric,Artist,Genres,Popularity,Top Genre
78697,"Tell Me, Tell Me... Baby","Oh, oh
Hold on ...
Ah, you know what?
Can we back it up just a little bit?
I said why, I said why (Why)
Tell me, tell me, tell me, tell me ...
Oh, oh ... yeah

We were born the same day
We even think the same way
It couldn't be more right
We are what they call a perfect match
It's something that ya can't touch,
Down to the last bone, you're my baby
But to be honest
There's just one thing
A part that is missing
You don't seem to care at all

CHORUS
Tell me, tell me, baby
How come you don't wanna love me
Don't you know that I can't breathe without you
Tell me, tell me, just how
What am I supposed to do right now
Why can't you love me?
Why-y, tell me, my baby

Now from the moment we met
I thought that I was all set
How could I be so wrong
Now I'm hearing that you're seeing someone new
And I wanna know who
But does he love you like I do my baby
But I promise you this one thing
Whatever that's missing
I will make it up to you
So tell me baby

CHORUS - Repeat

For getting under my skin
For messing up my mind
For never letting me into your life
Tell me baby how come you don't wanna love me
And am how am I supposed to live without
If there is no way to make you feel the same way too
F*%$ you...

Tell me, tell me
Tell me, tell me
We were born the same day
We even think the same way
We are what they all call a perfect match
Tell me, baby

How come you don't wanna love me
Don't you know that I can't breathe without you
Tell me, tell me, just how
What am I supposed to do right now
Why can't you love me?

CHORUS - Repeat
",*NSYNC,Pop,1.5,4
63277,Take Your Carriage Clock And Shove It,"In the board room the quiet man takes a
Second to think what do
He's out of his seat and he's starting to speak
And he hears his own voice

For years and years he's done nothing but bow down andput up with their demands
She sits like a viper and offers the clock
Without giving a damn
He takes it

""Honour forbids me but honour damned
You have whined till you got what you want
I did the work and when thingsd were going badly
You left us to rot""

He locked the door of the boardroom
And turned like the scene from the old country song
Towering over the table he's lost
He is drunk with it all

""You only
Come back to us when we'd turned it around
When we'd rescued your arse from fire
Your contribution to all that we did was to say
it was dire""

""Night after day after night I've been working
Despite of you fucking us all
Now I'm going to die I don't care if you cry
Just please leave me alone
And spare your tears for yourself
We've had those till were sick
You should leave while you still have the chance""
The others were shocked at this shameful disgrace
At the end of an honoured career
He paused in the silence to pull down his tie
And observe the melee",Belle & Sebastian,Indie; Pop,0.2,3
82773,No,"I think it's so cute and I think it's so sweet
How you let your friends encourage you
to come and talk to me
But let me stop you there, oh, before you speak

My name is no, my sign is no, my number is no
You need to let it go, you need to let it go
You need to let it go
Nah to the ah to the, no, no, no
My name is no, my sign is no, my number is no
You need to let it go, you need to let it go
You need to let it go
Nah to the ah to the no, no, no

First you gonna say you ain't runnin' game
Thinkin' I'm believing every word
Call me beautiful, so original
Telling me I'm not like other girls
I was in my zone before you came along
Now I'm thinking maybe you should go
Blah, blah, blah
I be like nah to the ah to the no, no, no

All my ladies, listen up
If that boy ain't giving up
Clap your hands and do your dance
Cause all you gotta say is

My name is no, my sign is no, my number is no
You need to let it go, need to let it go
Need to let it go
Nah to the ah to the, no, no, no
My name is no, my sign is no, my number is no
You need to let it go, need to let it go
Need to let it go
Nah to the ah to the no, no, no

Thank you in advance, I don't wanna dance (nope)
I don't need your hands all over me
If I want a man, then I'mma get a man
But it's never my priority
I was in my zone, before you came along
Don't want you to take this personal
Blah, blah, blah
I be like nah to the ah to the no, no, no

All my ladies, listen up
If that boy ain't giving up
Clap your hands and do your dance
Cause all you gotta say is

My name is no, my sign is no, my number is no
You need to let it go, you need to let it go
Need to let it go
Nah to the ah to the, no, no, no
My name is no, my sign is no, my number is no
You need to let it go, need to let it go
Need to let it go
Nah to the ah to the no, no, no

I'm feeling
Untouchable, untouchable
I'm feeling
Untouchable, untouchable
I'm feeling
Untouchable, untouchable
I'm feeling
Untouchable, untouchable
(Nah to the ah to the no, no, no)
Untouchable, untouchable
I'm feeling
Untouchable, untouchable
I'm feeling
Untouchable, untouchable
I'm feeling
Untouchable, untouchable
(Nah to the ah to the no, no, no)

All my ladies, listen up
If that boy ain't giving up
Clap your hands and do your dance
Cause all you gotta say is

My name is no, my sign is no, my number is no
You need to let it go, you need to let it go
You need to let it go
Nah to the ah to the, no, no, no
My name is no, my sign is no, my number is no
You need to let it go, need to let it go
Need to let it go
Nah to the ah to the no, no, no

I'm feeling
Untouchable, untouchable
I'm feeling
Untouchable, untouchable
I'm feeling
Untouchable, untouchable
I'm feeling
Untouchable, untouchable
(Nah to the ah to the no, no, no)",Cimorelli,Pop,0.0,4
54655,Exclusively,"[Chorus: repeat 2X]
Exclusively, ridin on them deuces G
Talkin 'bout what your gameplan used to be
They got us choppin up game through the fog and smoke
We came a long way but still we got so far to go

[Verse One]
Yeah I know I got 4 to go, so with these bars I flow
At a pace for the papes I thank y'all should know
I lace it properly for property, it really ain't no stoppin me
And plus I'm tryin to get my money on like Monopoly
Politickin economy, if I could be a made nigga
Smokin on e'ry nigga, balled out paid nigga
Keepin it real, I'm still deep in the field
Deep with the skills for the bills
I got the million dollar mouthpiece with no gold grill
I bring the thrill like Will Clark
I will bust I will spark and flame in the booth
You blind you shoulda saw it when I came in the booth
I serve the thunder, that shit that'll brang in the roof

[Verse Two]
My niggaz, stack riches, mack bitches
Blow fast Swishers with my folks, act vicious with my folks
Sav livin with my vo-cals, Outlaw like my nigga No-ble
Fuckin bad bitches at the hotel
There's nothin to a boss, man we live it up
Smash for the cash and respect so when we mash niggaz give it up
I got no time for that fake shit
Jersey to the Bay niggaz thuggin even bitches thinkin they sick
So nigga basically the world is a ghetto
Play a nigga out his scratch, he gon' be twirled in a meadow
I keep it real with niggaz that be true to me
There's nothin you can do to me
My crew is deep and real niggaz rule the streets

[Chorus]

[Verse Three: The Game]
Lace your Timbs, polish your gators, we like odds in Vegas
You can't ball then it's probably the haters
Can't breathe then it's probably the desert, if you a gangster or not
I give a fuck dawg, bullets is hot
And every nigga gon' cry when he hit
The more pain the more blood drain, he ain't survivin shit
And your niggaz ain't gon' ride for shit, they know
if they came through everybody in the X-5 is hit
Red rag or blue rag, niggaz die for this
The Game the reason all these niggaz on that ""Cali Love"" shit
Compton niggaz get grimy too, pull you out of that 6
Fuck you up like one time'll do
And I dare y'all to stop on the 'Shaw, and King Boulevard
Pull it hard, Doogie Howser pullin bullets out your jaw
Turn your round trip into a one-way ticket
You can visit, but you can not lie and kick it

[Verse Four]
It's time for me to shine, life on the grind, life on the line
Feelin like I'm runnin out of time
It's now or never, chasin this cheddar 'til things get better
These streets got me hungry as ever
Can't stop can't change, young Sav stuck in the game
Everyday we gotta hustle and slang, struggle and strain
to bubble, weed plus the 'caine to juggle
Organize the brains and muscle

[Chorus]

[Verse Five]
You {?} like Sammy did Gotti, told 'em we kamikaze
Like those whiteboys ain't heedin the robbery
Told 'em we ride around in them cars on them big wheels
In the killing field makin 100 bills on the P-700 Pirelli wheels
Marshall Faulk in to ball again in this day to day scrimmage
'Bout the spinach this game is relentless where we livin
Niggaz'll 32 round ya, kick you on the ground
After they down ya, sneak ya and plot ya, Heckler & Koch ya
Got ya body bein scrutinized by a flock of doctors
Still an unsolved mystery, statistically, history
A Get Low nigga victory by fuckin with my credibility",The Game,Rap; Hip Hop,0.0,2
67738,The Bachelor And The Bride,"There's a wrinkle in the water
where we laid our first daughter
And I think the wind blows so sweetly there
Over there
And the windows and the cinders
And the willows in the timbers
The infernal rattling of the rain
still remains

""But I"" said the bachelor to the bride
""Am not waiting for tonight.
No, I will box your ears
and leave you here stripped bare.""

Hear the corncrakes and the deerhooves
And the sleet rain on the slate roof
A medallion locked inside her hand
in her hand
And his fingers are they telling
of the barren of her belly
And his callouses cure her furrowed brow
even now

""But I,"" said the bachelor to the bride
""am not waiting for tonight.
No, I will box your ears
and leave you here stripped bare.""

""But I,"" said the bachelor to the bride
""am not waiting for tonight.
No, I will box your ears
and take your tears
and leave you, leave you here
stripped bare.""",The Decemberists,Indie; Folk; Rock,0.0,3
75760,Think About Us (Ft. Ty Dolla $ign),"When you dancing in the club
And the nights are getting hard
Do you think about us?
Do you think about us?
When the music gets so loud
And the girls are all around
Do you think about us?
Do you think about us?

Cause I do, think about you
When I'm up here in my hotel room
Need your love, don't know what I'm gon' do
My body so hot, babe, I'm missin' you

One touch is all I want
I call my girls, we go down to the club
Walk through the crowd, 'til I find my love
I look in your eyes and the whole world stops

Woah, you put your hand on my waist
And then you pull me close
Boy, I promise I won't let go

Now we're dancing in the club
And it's fire when we touch
Do you think about us?
Do you think about us?
When we're deeper in the crowd
Can you feel my body now?
Do you think about us?
Oh-woah-oh-oh-oh

Do you think about us, us
Woah-oh-oh-oh, woah-oh-oh-oh
Do you think about us, us
Woah-oh-oh-oh, woah-oh-oh-oh
Do you think about us?

'Cause I do, think about you
Can't shake you off, babe you're stuck like glue
Now we're alone, got my body on you
You don't even know all the things I want do

One touch, need your love
Me and my baby, we up in the club
Ain't nobody else, you know it's all about us
Ain't nobody else, you know it's all about us

Woah, you put your hand on my waist
And then you pull me close
Boy, I promise, I won't let go

Now we're dancing in the club
And it's fire when we touch
Do you think about us?
Do you think about us?
When we're deeper in the crowd
Can you feel my body now?
Do you think about us, whoa?
Do you think about us, us
Woah-oh-oh-oh, woah-oh-oh-oh
Do you think about us, us
Woah-oh-oh-oh, woah-oh-oh-oh
Do you think about us?

I've been thinking about us yeah
All the cities we met up in
Situations that we've been through
Have you been thinking about me too
I have some things on my mind I wanna tell you
Can we please spend some time
I'll clear the schedule for You
Can I put you on a jet tonight
Can I VVS your neck with diamonds
Just let me put some drip on you Vivienne Westwood
Let me put some Chanel on you
That New Balenciaga, YSL on you
Girl You A Goddess
Do you Think About US

Do you think about us, us?
Woah-oh-oh-oh (do you think about me, baby?)
Woah-oh-oh-oh (do you think about me, baby?)
Do you think about us, us
Woah-oh-oh-oh, woah-oh-oh-oh
Do you think about us?
Oh-na-na-na-na, do you think about us?
Oh-na-na-na-na, do you think about us?
Oh-na-na-na-na, do you think about us?
I wanna know, do you think about us?",Little Mix,Pop; Dance,3.8,4
46183,Legions,"We're legions connected
By the blood that we share
We charge it, we march it
In this land of despair
Our banner in blood
We carry to war
With shields and spears
The killing fear

Legions - god of war
Legions - calling you
Legions - hades fall
Legions - march of doom

Confront them, destroy 'em
Smash them all
Their putrid carcass
Laying on the ground
Spartan warriors
Bravest of all
Their bodies piled up
Form a human wall

Legions - god of war
Legions - calling you
Legions - hades fall
Legions - march of doom

Bloody purge - total scourge
The gates of doom will open soon
To hades - you're coming
The gods of war are calling you...

Legions - god of war
Legions - calling you
Legions - hades fall
Legions - march of doom",Soulfly,Heavy Metal; Metal; Reggae,0.0,1
66864,Slowly (oh So Slowly),"Potential well your a loaded line
The veil between the world and the faceless bride
Theres nothing yet, but a bunch of white
Oh potential, well your a loded line

Tomorrow, well I will wait for you
Laying right here floating in this swimming pool
Theres a lot of things I've got left to do
Oh tomorrow, but I'll wait for you

The days keep slipping down into the cracks
It takes a while to realise were your at
Slowly (so slowly) Slowly (so slowly)
Slowly, its slowly ending

Dementia you better treat me good
The human race is in its second childhood
I never loved but I understood
Oh dementia you better treat me good

Sometimes I need a place to go
Classical music plays from the radio
I sit real still
Let my shadow grow
Yeah sometimes I need a place to go

My mind keeps slipping back into the past
I hope someday I can get it back
Slowly (So slowly) Slowly (So slowly)
Slowly there slowly ending
So slowly Slowly (So slowly) Slowly, slowly
It's slowly ending

And soon that train is going to pull away
I hear it whistling, I try to wave at a glowing face
They can't tell who I am
Slowly (So slowly) Slowly (So Slowly)
Slowly, its slowly ending


juliana furlan :)",Bright Eyes,Indie,0.0,3
60708,It's Hard To Walk Tall When You're Small,"I can kill standing still
It's easy
I can scare with a stare
It's easy

Hey Ringo, It's sad though
Because it's hard to walk tall
When you're small

Whether dressed in disciplined style
Nevermind
When you're small
You walk as if you're falling

I attack from the back
Because it's easy
And I can assail
While wearing very nice jewellery

Oh hey Ringo, It's sad though
Because it's hard to walk tall
When you're small

Whether dressed in disciplined style
Nevermind
When you're small
You spend your life crawling

I burst into public bars
And I throw my weight around
And no one can even see me
No one can even see me
Nobody can see me
No one can see me

Success is just a mess, Oh

Hey gringo, It's sad though
Because it's hard to walk tall
When you're small
Whether dressed in disciplined style
Nevermind
When you're small
You're bound to look appalling

So compadre please do this for me
Compadre please weep for me
Compadre, compadre
Please weep for me",Morrissey,Indie; Rock; Pop/Rock,1.6,3
54218,B-Boys Makin' With the Freak Freak,"Putting Song Together Ain't No Puzzle Like Yahtzee
Sending This Out To K-Rob And Rahmalzee
Let Me Introduce Myself On This Cut
I'm Ad Rock, I'm Lit Like A Motherfuck
Well, I'm Brewing Up Rhymes Like I Was Using A Still
I've Got An Old School Flow Like Mike McGill
'Cause Yauch's On The Upright, The Shit Just Ain't Funny
Got Fat Bass Lines Like Russel Simmons Steals Money
Got Clientele, You Know I Rock Well
And Then You're On My Dick Because I'm D.F.L.
Yeah, Mike 'Cause Playing The Bass Is My Favorite Shit
I Might Be A Hack On The Stand Up But I'm Working At It
I Get My Hair Cut Correct Like Anthony Mason
Then I Ride The I.R.T. Right Up To Penn Station
Penn Station Up On 8th Ave.
Listen All Y'all You get The Ball Bath
He's Got The Savior Faire Because He's Debonair
Mike D With The Vinyl With The Grooves So Rare
And The Rhymes That We're Are Doo Doo


Been Makin' With The Freak Freak, So Unique
Been Learning From The Elders Now It's Time To Speak
Oh That Shit Sounds Nice
Mike D Come On And Get It On Y'all
Talking Shit About A Mile A Minute
Put The Wax On The Table And Let The D.J. Spin It
Excuse Me Motherfuckers, Can I Beg Your Pardon
I'm Gonna See The Knicks At Madison Square Garden
And Like The Knicks I Got Game Like I Worked At Hasbro
On The Mic I Bug, Like I Was Prince Jazzbo
The Rhymes Are Stupid To Make You Go Coo-Coo
You Can't Sleep 'Cause You're Little Cindy Loo Hoo
Down With The Hurra Since The Raising Hell Tour
Just Listen To His Cuts There's No Reason To Tell More
Cyndy What I Didn't Catch The Last One
That Shit Sounded Kinda Nice, But Bust A Fast One
Well I'm Not Known For My Speed Raps
So Grab The Microphone And Cut Out The Claps
Ah Yea, I Like That Shit Is Kind Of Rough
I'll Grab The Microphone And Fuck It Up


I Might Seem Out There, A Little Deranged
I've Got To Cool Off, Catch Me On The Driving Range
Well I'm The Ladies' Choise Like I Was J.J. Evans
Legalize The Weed And I'll Say Thank Heavens
I'm Talking P.G.A. Pro Tour 2
I'm Doctor Beppers In My T.V., In My Golfing Shoes
Pass Me An Iron And I'll Bust A Chip Shot
Then You Throw Me Off The Green Because I'm Strictly Hip-Hop
I'll Grab The Tee, I'll Tee Off
I'll Grab The Golf Clubs And I'm Off, I'm Audi- So Check Me
I've Got The Timbos On My Toes When I'm Not On The Green
I've Got The Costom Made Boots With The Spikey Things
I'm Working On My Driving 'Cause I'm Going Pro
I've Got The Funky Fly Golf Gear From Head To Toe
Yea, The B-Boys Makin' With The Freak Freak
Mario's Nagging Nonni's About The Pesto Pizza
",Beastie Boys,Hip Hop; Rock,1.0,2
4074,Want Some More,"Metro Boomin want some more nigga

Want some more
Want some more
Even though a nigga been getting to it
Want some more
(Still want some more)
Want some more
Want some more
Every time I end up getting to it
Want some more

When they start talking crazy that's when I know that they
(Want some more)
I know that I'm getting it, but fuck it cause I
(Want some more)
When they start talking crazy that's when I know that they
(Want some more)
Every time I end up getting it
(Want some more)

I'm in this bitch, I'm getting money
One minute they hate me then they love me
Ain't got nothing for me, these dudes is funny
That's why I'm throwing shade like it's sunny
Who had Eminem on the first album?
Who had Kanye saying ""She a problem""?
Who the fuck came in the game made her own column?
Who made Lil Wayne give 'em five million?
Why the fuck I gotta say it, though?
You niggas don't know it yet?
Football touchdown on the Boeing jet
You my son, but I'm just not showing yet
Wirst Icy, but it ain't snowing yet
You can tell I'm the illest cause my dividend is the biggest
Bitches ain't sitting with us, all my niggas in Margielas (Oh!)
Is pigs flying? Is these bitches trying me?
They think it's sweet? Oh, these bitches got diabetes!
You seen that list? It was me, Baby, Jay Z and Diddy

Want some more
Want some more
Even though a nigga been getting to it

Want some more
(Still want some more)
Want some more
Want some more
Every time I end up getting to it
Want some more

When they start talking crazy that's when I know that they
(Want some more)
I know that I'm getting it, but fuck it cause I
(Want some more)
When they start talking crazy that's when I know that they
(Want some more)
Every time I end up getting it
(Want some more)

(Yo, Yo)
I'm in this bitch I'm high-saditty
I popped a Perc and I said ""thank you""
I'm popping tags everyday, it look like my B-Day
These bitches suck, so I nick name these bitches Bj
They want that union, they want that D. Wade
I tell a ho ""just be happy they getting leeway""
My name Barbie, bitch (My name Barbie, bitch)
Alexander, made me Queen
I'm pulling up with the King, I'm late to my own party, bitch
Want it, I get it, I don't be wanting for nothing
I mean, I do what I do and it must be counting for something
I don't be jumping from topic to topic, stay in my pocket
I got your rent in my pocket
So can I pay you to pop it?
Cash money, getting six albums
No bitch niggas want to bitch out
You niggas apologize and a nigga diss you?
That's a big problem

Want some more
Want some more
Even though a nigga been getting to it
Want some more
(Still want some more)
Want some more
Want some more
Every time I end up getting to it
Want some more",Nicki Minaj,Rap; Pop; Hip Hop,10.1,2
